thermal_demand;electricity_price;co2_price;gas_price;irradiance_riga
6900.26;100.58;81.52;90.021;0
6683.45;111.65;81.52;90.021;0
6842.06;127.38;81.52;90.021;0
7017.43;168.85;81.52;90.021;0
6999.17;199.85;81.52;90.021;0
7602.25;249.99;81.52;90.021;0
7579.72;254.37;81.52;90.021;0
7626.15;237.28;81.52;90.021;0
7090.13;220;81.52;90.021;0
6829.01;215.94;81.52;90.021;0
6441.43;209.16;81.52;90.021;0
6318.68;180;81.52;90.021;0
6285.51;188.94;81.52;80.637;0
6266.08;192.68;81.52;80.637;0
6223.32;180.09;81.52;80.637;0
6230.30;188.09;81.52;80.637;0
6266.14;193.99;81.52;80.637;0
6474.00;205.07;81.52;80.637;0
7248.63;229.1;81.52;80.637;0
7482.04;273.71;81.52;80.637;223
7377.90;294.4;81.52;80.637;502
7003.95;290.64;81.52;80.637;593
7231.51;275.4;81.52;80.637;616
7163.61;265.1;81.52;80.637;12
7050.40;250;81.52;80.637;163
6792.95;244.27;81.52;80.637;285
6777.30;243.02;81.52;80.637;0
6779.51;249.22;81.52;80.637;0
6804.41;260;81.52;80.637;0
7305.34;278;81.52;80.637;0
7464.49;276.39;81.52;80.637;0
7347.74;255.03;81.52;80.637;0
6665.74;237.28;81.52;80.637;0
6705.03;224.19;81.52;80.637;0
6764.73;190.78;81.52;80.637;0
6443.83;175.49;81.52;80.637;0
6047.94;169.01;81.52;78.242;0
5996.15;163.48;81.52;78.242;0
6010.19;162.93;81.52;78.242;0
6098.96;160.01;81.52;78.242;0
6236.01;163.16;81.52;78.242;0
6475.96;165.59;81.52;78.242;0
6862.29;198.39;81.52;78.242;0
6944.95;227.42;81.52;78.242;0
6833.45;261.65;81.52;78.242;0
6692.66;252.67;81.52;78.242;0
6945.22;221.75;81.52;78.242;1
6893.93;193.62;81.52;78.242;5
6714.51;170.14;81.52;78.242;6
6329.95;160.47;81.52;78.242;3
6348.63;164.13;81.52;78.242;0
6528.79;180.5;81.52;78.242;0
6679.17;179.26;81.52;78.242;0
7242.41;173.99;81.52;78.242;0
7172.84;167.34;81.52;78.242;0
7317.40;135.61;81.52;78.242;0
6724.51;125.05;81.52;78.242;0
6527.45;120.9;81.52;78.242;0
6272.97;118.08;81.52;78.242;0
6049.67;97.16;81.52;78.242;0
5842.64;90.05;81.52;74.748;0
5729.20;78.94;81.52;74.748;0
5645.31;75.05;81.52;74.748;0
5546.05;72.13;81.52;74.748;0
5556.20;70.99;81.52;74.748;0
5730.54;87.7;81.52;74.748;0
6153.20;96.26;81.52;74.748;0
6409.22;118.95;81.52;74.748;0
6328.19;140.51;81.52;74.748;0
6593.00;130.27;81.52;74.748;0
6984.67;128.47;81.52;74.748;0
6860.59;111.95;81.52;74.748;0
6747.25;94.15;81.52;74.748;0
6538.51;85.54;81.52;74.748;0
6545.93;105.37;81.52;74.748;0
6789.20;111.32;81.52;74.748;0
6956.62;134.86;81.52;74.748;0
7513.51;176.05;81.52;74.748;0
7496.21;192.74;81.52;74.748;0
7379.60;180;81.52;74.748;0
6651.21;152.33;81.52;74.748;0
6259.05;137.91;81.52;74.748;0
6161.44;131.76;81.52;74.748;0
6122.55;121.39;81.52;74.748;0
5835.66;119.19;81.52;74.4;0
5669.71;117.87;81.52;74.4;0
5542.05;110.92;81.52;74.4;0
5523.45;113.14;81.52;74.4;0
5528.46;119.15;81.52;74.4;0
5547.56;120.73;81.52;74.4;0
5824.63;148.76;81.52;74.4;0
6126.30;207.59;81.52;74.4;0
6464.79;223.15;81.52;74.4;0
6192.13;215.79;81.52;74.4;0
6524.86;206.51;81.52;74.4;0
6447.27;206.43;83.4;74.4;0
6267.81;190;84.03;74.4;0
5338.33;170.08;84.03;74.4;0
5716.90;169.29;84.03;74.4;0
