thermal_demand,electricity_price,co2_price,gas_price,waste_heat,biomass_price,loss_ratio,thermal_demand_with_losses
6375.09,109.0,82.25,90.886,11.2362,27.95,0.016399999999999998,6479.641476
6323.42,103.63,82.25,90.886,7.6469,27.95,0.016399999999999998,6427.124088
6152.56,94.76,82.25,90.886,6.8694,27.95,0.016399999999999998,6253.4619840000005
5949.39,87.15,82.25,91.43,7.5317,27.95,0.016399999999999998,6046.9599960000005
5785.19,84.67,82.25,91.43,7.5559,27.95,0.016399999999999998,5880.067115999999
5824.24,84.64,82.25,91.43,7.0555,27.95,0.016399999999999998,5919.757535999999
5898.72,84.02,82.25,91.43,6.3447,27.95,0.016399999999999998,5995.459008
5902.92,84.23,82.25,91.43,6.7275,27.95,0.016399999999999998,5999.727888
5997.53,89.05,82.25,91.43,7.4703,27.95,0.016399999999999998,6095.889491999999
6521.47,114.84,82.25,91.43,13.3857,27.95,0.016399999999999998,6628.422108
6697.75,134.87,82.25,91.43,12.3162,27.95,0.016399999999999998,6807.5931
6629.55,143.0,82.25,91.43,14.1325,27.95,0.016399999999999998,6738.27462
6452.98,130.39,82.25,91.43,13.3123,27.95,0.016399999999999998,6558.808872
6595.58,121.47,82.25,91.43,16.4433,27.95,0.016399999999999998,6703.747512
6607.72,109.13,82.25,91.43,12.0227,27.95,0.016399999999999998,6716.086608
6623.56,102.21,82.25,91.43,14.4853,27.95,0.016399999999999998,6732.1863840000005
6386.49,113.34,82.25,91.43,19.2677,27.95,0.016399999999999998,6491.228435999999
6448.64,122.03,82.25,91.43,17.8111,27.95,0.016399999999999998,6554.397696
6395.72,130.06,82.25,91.43,13.1926,27.95,0.016399999999999998,6500.609808
6340.37,134.64,82.25,91.43,16.8121,27.95,0.016399999999999998,6444.352068
6987.84,143.79,82.25,91.43,15.3476,27.95,0.016399999999999998,7102.440576
7114.86,136.64,82.25,91.43,14.3802,27.95,0.016399999999999998,7231.543704
7026.54,128.98,82.25,91.43,13.2013,27.95,0.016399999999999998,7141.775256
6393.91,117.12,82.25,91.43,14.7215,27.95,0.016399999999999998,6498.770124
6415.29,107.12,82.25,91.43,10.5444,27.95,0.016399999999999998,6520.5007559999995
6410.46,83.1,82.25,91.43,7.2639,27.95,0.016399999999999998,6515.591544
6219.49,30.07,82.25,91.43,6.7494,27.95,0.016399999999999998,6321.489635999999
6105.29,83.1,82.25,88.498,7.471,27.95,0.016399999999999998,6205.416756
6064.37,74.1,82.25,88.498,6.0331,27.95,0.016399999999999998,6163.8256679999995
6079.74,24.39,82.25,88.498,6.4643,27.95,0.016399999999999998,6179.447735999999
6041.7,40.0,82.25,88.498,6.9141,27.95,0.016399999999999998,6140.78388
6078.79,68.47,82.25,88.498,6.2206,27.95,0.016399999999999998,6178.482156
6414.12,34.36,82.25,88.498,7.2959,27.95,0.016399999999999998,6519.311568
7170.49,99.62,82.25,88.498,8.1038,27.95,0.016399999999999998,7288.086036
7356.03,114.06,82.25,88.498,10.2862,27.95,0.016399999999999998,7476.668892
6961.17,137.62,82.25,88.498,13.2836,27.95,0.016399999999999998,7075.333188
6414.82,126.06,82.25,88.498,15.9509,27.95,0.016399999999999998,6520.023047999999
6604.38,110.92,82.25,88.498,15.7398,27.95,0.016399999999999998,6712.6918319999995
6456.15,103.92,82.25,88.498,15.9705,27.95,0.016399999999999998,6562.03086
6322.98,97.0,82.25,88.498,17.3305,27.95,0.016399999999999998,6426.676871999999
6030.88,99.0,82.25,88.498,13.846,27.95,0.016399999999999998,6129.786432
6159.46,105.98,82.25,88.498,13.8897,27.95,0.016399999999999998,6260.475144
6221.3,124.1,82.25,88.498,14.1828,27.95,0.016399999999999998,6323.32932
6165.66,141.86,82.25,88.498,9.5966,27.95,0.016399999999999998,6266.776824
6757.42,155.0,82.25,88.498,15.1762,27.95,0.016399999999999998,6868.241688
6907.83,200.0,82.25,88.498,15.4536,27.95,0.016399999999999998,7021.118412
6797.23,145.44,82.25,88.498,11.753,27.95,0.016399999999999998,6908.704572
6085.63,123.51,82.25,88.498,15.5474,27.95,0.016399999999999998,6185.434332
5767.61,108.2,82.25,88.498,11.2736,27.95,0.016399999999999998,5862.198804
5642.24,100.0,82.25,88.498,7.3124,27.95,0.016399999999999998,5734.772736
5355.4,96.97,82.25,88.498,7.2217,27.95,0.016399999999999998,5443.22856
5047.02,90.94,82.25,82.675,7.4379,27.95,0.016399999999999998,5129.791128
5046.22,88.13,82.25,82.675,6.735,27.95,0.016399999999999998,5128.978008
5132.64,86.3,82.25,82.675,7.3588,27.95,0.016399999999999998,5216.815296
5210.19,86.85,82.25,82.675,7.0082,27.95,0.016399999999999998,5295.637116
5314.27,92.24,82.25,82.675,6.9365,27.95,0.016399999999999998,5401.424028
5611.39,103.41,82.25,82.675,7.2936,27.95,0.016399999999999998,5703.416796
6458.85,124.5,82.25,82.675,10.3458,27.95,0.016399999999999998,6564.77514
6914.48,137.15,82.25,82.675,12.1175,27.95,0.016399999999999998,7027.877471999999
7026.39,140.74,82.25,82.675,13.5479,27.95,0.016399999999999998,7141.622796000001
7061.62,134.96,82.25,82.675,13.2091,27.95,0.016399999999999998,7177.430568
7543.08,150.03,82.25,82.675,17.8527,27.95,0.016399999999999998,7666.786512
7536.88,136.48,82.25,82.675,16.0587,27.95,0.016399999999999998,7660.484832
7381.56,124.57,82.25,82.675,14.51,27.95,0.016399999999999998,7502.6175840000005
7019.9,124.32,82.25,82.675,16.4034,27.95,0.016399999999999998,7135.02636
7162.14,150.51,82.25,82.675,13.7698,27.95,0.016399999999999998,7279.599096
7372.45,203.0,82.25,82.675,12.6888,27.95,0.016399999999999998,7493.358179999999
7514.49,299.02,82.25,82.675,13.1254,27.95,0.016399999999999998,7637.727636
7889.68,200.01,82.25,82.675,14.5913,27.95,0.016399999999999998,8019.070752
8024.33,155.0,82.25,82.675,13.5727,27.95,0.016399999999999998,8155.929012
7791.86,122.84,82.25,82.675,12.5834,27.95,0.016399999999999998,7919.646503999999
6993.87,108.87,82.25,82.675,12.4853,27.95,0.016399999999999998,7108.569468
6744.92,98.66,82.25,82.675,10.9338,27.95,0.016399999999999998,6855.536688
6516.32,93.57,82.25,82.675,6.7275,27.95,0.016399999999999998,6623.187647999999
6264.65,85.15,82.25,82.675,7.2793,27.95,0.016399999999999998,6367.390259999999
6156.21,75.64,82.25,79.105,5.6622,27.95,0.016399999999999998,6257.1718439999995
6025.24,74.85,82.25,79.105,5.6623,27.95,0.016399999999999998,6124.053935999999
5882.31,73.65,82.25,79.105,5.4681,27.95,0.016399999999999998,5978.7798840000005
5881.74,71.37,82.25,79.105,6.2826,27.95,0.016399999999999998,5978.200535999999
5978.57,72.24,82.25,79.105,6.1529,27.95,0.016399999999999998,6076.6185479999995
6253.97,74.33,82.25,79.105,5.868,27.95,0.016399999999999998,6356.535108
6831.22,79.34,82.25,79.105,9.1819,27.95,0.016399999999999998,6943.252008
7167.96,79.49,82.25,79.105,8.8848,27.95,0.016399999999999998,7285.514544
7051.52,80.19,82.25,79.105,12.3762,27.95,0.016399999999999998,7167.164928
6767.52,80.2,82.25,79.105,11.5493,27.95,0.016399999999999998,6878.507328000001
7119.18,80.19,82.25,79.105,12.721,27.95,0.016399999999999998,7235.934552
7187.34,74.18,82.25,79.105,13.9791,27.95,0.016399999999999998,7305.2123759999995
7148.88,70.66,82.25,79.105,12.1566,27.95,0.016399999999999998,7266.121632
6762.02,67.51,82.25,79.105,11.7896,27.95,0.016399999999999998,6872.917128
6697.06,75.51,82.25,79.105,13.0615,27.95,0.016399999999999998,6806.891784
6793.39,80.18,82.25,79.105,12.8186,27.95,0.016399999999999998,6904.801596
6964.26,80.19,82.25,79.105,12.7212,27.95,0.016399999999999998,7078.473864
