thermal_demand;electricity_price;co2_price;gas_price
6406.90;174.98;81.52;89.824
6489.81;165.91;81.52;89.824
6826.88;118.71;81.52;89.824
7012.31;119.45;81.52;89.824
6867.57;125.86;81.52;89.824
6839.70;129.46;81.52;89.824
7231.33;125.99;81.52;89.824
7127.37;131.83;81.52;89.824
7169.88;123.01;81.52;89.824
6814.55;122.49;81.52;89.824
6878.57;102.67;81.52;89.824
6896.58;121.95;81.52;89.824
7008.84;115;81.52;89.824
7520.32;125.42;81.52;89.824
7609.74;112.4;81.52;89.824
7504.20;97.49;81.52;89.824
6983.85;90.14;81.52;89.824
6799.29;97.09;81.52;89.824
6683.50;93.85;81.52;89.824
6557.20;87.2;81.52;89.824
6330.23;78.08;81.52;90.021
6294.03;34;81.52;90.021
6154.54;12.33;81.52;90.021
6038.40;10.09;81.52;90.021
6135.81;12.83;81.52;90.021
6359.14;36.16;81.52;90.021
6952.02;92.03;81.52;90.021
7027.84;102.8;81.52;90.021
6849.52;126;81.52;90.021
6684.39;100.9;81.52;90.021
6975.31;112.03;81.52;90.021
6947.83;111.25;81.52;90.021
6900.26;100.58;81.52;90.021
6683.45;111.65;81.52;90.021
6842.06;127.38;81.52;90.021
7017.43;168.85;81.52;90.021
6999.17;199.85;81.52;90.021
7602.25;249.99;81.52;90.021
7579.72;254.37;81.52;90.021
7626.15;237.28;81.52;90.021
7090.13;220;81.52;90.021
6829.01;215.94;81.52;90.021
6441.43;209.16;81.52;90.021
6318.68;180;81.52;90.021
6285.51;188.94;81.52;80.637
6266.08;192.68;81.52;80.637
6223.32;180.09;81.52;80.637
6230.30;188.09;81.52;80.637
6266.14;193.99;81.52;80.637
6474.00;205.07;81.52;80.637
7248.63;229.1;81.52;80.637
7482.04;273.71;81.52;80.637
7377.90;294.4;81.52;80.637
7003.95;290.64;81.52;80.637
7231.51;275.4;81.52;80.637
7163.61;265.1;81.52;80.637
7050.40;250;81.52;80.637
6792.95;244.27;81.52;80.637
6777.30;243.02;81.52;80.637
6779.51;249.22;81.52;80.637
6804.41;260;81.52;80.637
7305.34;278;81.52;80.637
7464.49;276.39;81.52;80.637
7347.74;255.03;81.52;80.637
6665.74;237.28;81.52;80.637
6705.03;224.19;81.52;80.637
6764.73;190.78;81.52;80.637
6443.83;175.49;81.52;80.637
6047.94;169.01;81.52;78.242
5996.15;163.48;81.52;78.242
6010.19;162.93;81.52;78.242
6098.96;160.01;81.52;78.242
6236.01;163.16;81.52;78.242
6475.96;165.59;81.52;78.242
6862.29;198.39;81.52;78.242
6944.95;227.42;81.52;78.242
6833.45;261.65;81.52;78.242
6692.66;252.67;81.52;78.242
6945.22;221.75;81.52;78.242
6893.93;193.62;81.52;78.242
6714.51;170.14;81.52;78.242
6329.95;160.47;81.52;78.242
6348.63;164.13;81.52;78.242
6528.79;180.5;81.52;78.242
6679.17;179.26;81.52;78.242
7242.41;173.99;81.52;78.242
7172.84;167.34;81.52;78.242
7317.40;135.61;81.52;78.242
6724.51;125.05;81.52;78.242
6527.45;120.9;81.52;78.242
6272.97;118.08;81.52;78.242
6049.67;97.16;81.52;78.242
5842.64;90.05;81.52;74.748
5729.20;78.94;81.52;74.748
5645.31;75.05;81.52;74.748
5546.05;72.13;81.52;74.748
5556.20;70.99;81.52;74.748
5730.54;87.7;81.52;74.748
6153.20;96.26;81.52;74.748
6409.22;118.95;81.52;74.748
6328.19;140.51;81.52;74.748
6593.00;130.27;81.52;74.748
6984.67;128.47;81.52;74.748
6860.59;111.95;81.52;74.748
6747.25;94.15;81.52;74.748
6538.51;85.54;81.52;74.748
