thermal_demand;electricity_price;co2_price;gas_price;waste_heat
6154.54;82.1;81.52;90.021;6.45
6038.4;82.09;81.52;90.021;6.6753
6135.81;90.06;81.52;90.021;7.721
6359.14;134.58;81.52;90.021;7.0114
6952.02;150;81.52;90.021;9.0635
7027.84;147.72;81.52;90.021;11.1865
6849.52;122.02;81.52;90.021;14.2755
6684.39;105.59;81.52;90.021;15.7045
6975.31;110.33;81.52;90.021;16.3174
6947.83;111.1;81.52;90.021;16.2125
6900.26;116.49;81.52;90.021;16.5934
6683.45;119.9;81.52;90.021;13.2712
6842.06;117.97;81.52;90.021;16.2652
7017.43;121.82;81.52;90.021;20.0846
6999.17;125.24;81.52;90.021;15.863
7602.25;136.44;81.52;90.021;14.5925
7579.72;120.62;81.52;90.021;14.6218
7626.15;110.96;81.52;90.021;13.4139
7090.13;106.61;81.52;90.021;14.7984
6829.01;97.51;81.52;90.021;11.2987
6441.43;91.36;81.52;90.021;7.1641
6318.68;68;81.52;90.021;6.4242
6285.51;47.97;81.52;80.637;6.6727
6266.08;49.26;81.52;80.637;6.0837
6223.32;46.55;81.52;80.637;7.0287
6230.3;44.95;81.52;80.637;7.4976
6266.14;46.72;81.52;80.637;7.3817
6474;78.8;81.52;80.637;7.2105
7248.63;78.8;81.52;80.637;10.5175
7482.04;119;81.52;80.637;10.6304
7377.9;125.89;81.52;80.637;14.8022
7003.95;122.17;81.52;80.637;15.5746
7231.51;125.02;81.52;80.637;15.1932
7163.61;125.01;81.52;80.637;16.3496
7050.4;125;81.52;80.637;16.696
6792.95;125.01;81.52;80.637;14.362
6777.3;125.02;81.52;80.637;16.8808
6779.51;119.02;81.52;80.637;14.6606
6804.41;119;81.52;80.637;14.1828
7305.34;104.68;81.52;80.637;11.631
7464.49;103.26;81.52;80.637;15.0216
7347.74;94.53;81.52;80.637;11.2689
6665.74;86.97;81.52;80.637;13.3848
6705.03;81.13;81.52;80.637;8.6233
6764.73;77.43;81.52;80.637;7.4605
6443.83;71.33;81.52;80.637;7.4957
6047.94;68.4;81.52;78.242;7.3151
5996.15;65.34;81.52;78.242;7.4066
6010.19;64.05;81.52;78.242;7.0429
6098.96;62.76;81.52;78.242;7.4828
6236.01;63.32;81.52;78.242;6.8836
6475.96;65.85;81.52;78.242;6.8813
6862.29;75.74;81.52;78.242;11.3066
6944.95;99.89;81.52;78.242;12.699
6833.45;104.27;81.52;78.242;11.566
6692.66;103.3;81.52;78.242;14.6548
6945.22;95.85;81.52;78.242;17.6608
6893.93;86.56;81.52;78.242;14.389
6714.51;78.72;81.52;78.242;17.1128
6329.95;75.15;81.52;78.242;13.6549
6348.63;76.91;81.52;78.242;13.4585
6528.79;90.58;81.52;78.242;15.0944
6679.17;104.6;81.52;78.242;12.4955
7242.41;114.77;81.52;78.242;14.2959
7172.84;108.49;81.52;78.242;14.4499
7317.4;106.05;81.52;78.242;12.9586
6724.51;91.77;81.52;78.242;16.3154
6527.45;79.98;81.52;78.242;10.3896
6272.97;74.97;81.52;78.242;7.2706
6049.67;66.69;81.52;78.242;6.9966
5842.64;67.62;81.52;74.748;5.8449
5729.2;65.01;81.52;74.748;6.0291
5645.31;65.1;81.52;74.748;5.8951
5546.05;63.34;81.52;74.748;5.8258
5556.2;63.37;81.52;74.748;5.9269
5730.54;68.91;81.52;74.748;5.7601
6153.2;74.29;81.52;74.748;9.0379
